date,stkVal,cash,dret,val,downLow,downHigh,downDay,downKMax
2015-01-05,0,10000,,10000,10000,10000,0,0.0
2015-01-06,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-07,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-08,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-09,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-12,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-13,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-14,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-15,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-16,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-19,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-20,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-21,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-22,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-23,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-26,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-27,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-28,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-29,0,10000,0.0,10000,10000,10000,0,0.0
2015-01-30,0,10000,0.0,10000,10000,10000,0,0.0
2015-02-16,0,10000,0.0,10000,10000,10000,0,0.0
2015-02-17,0,10000,0.0,10000,10000,10000,0,0.0
2015-02-25,0,10000,0.0,10000,10000,10000,0,0.0
2015-02-26,0,10000,0.0,10000,10000,10000,0,0.0
2015-02-27,0,10000,0.0,10000,10000,10000,0,0.0
2015-03-02,0,10000,0.0,10000,10000,10000,0,0.0
2015-03-03,0,10000,0.0,10000,10000,10000,0,0.0
2015-03-04,0,10000,0.0,10000,10000,10000,0,0.0
2015-03-05,0,10000,0.0,10000,10000,10000,0,0.0
2015-03-06,0,10000,0.0,10000,10000,10000,0,0.0
2015-03-09,0,10000,0.0,10000,10000,10000,0,0.0
2015-03-10,8999.460000000001,1000.539999999999,0.0,10000.0,10000,10000,0,0.0
2015-03-11,9092.88,1000.539999999999,0.00934199999999974,10093.419999999998,10000,10093.419999999998,0,0.0
2015-03-12,8937.18,1000.539999999999,-0.015425891323258,9937.72,9937.72,10093.419999999998,0,-0.015425891323258
2015-03-13,8937.18,1000.539999999999,0.0,9937.72,9937.72,10093.419999999998,0,-0.015425891323258
